path,label,kind,text,voice_id,voice_name,model_id,stability,similarity_boost,style,speed
data\normal_negative_ai\normal_negative_00000.wav,0,normal_negative,pokaż błąd,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00001.wav,0,normal_negative,sprawdź baterię,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00002.wav,0,normal_negative,czy to jest bezpieczne,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00003.wav,0,normal_negative,pokaż błąd,pb8c0r30vHTjqkuyCUIQ,polish_voice_7,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00004.wav,0,normal_negative,sprawdź baterię,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00005.wav,0,normal_negative,potrzebuję pomocy,V5GZ9rfeV9jjKZE5NkT7,polish_voice_1,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00006.wav,0,normal_negative,sprawdź baterię,pb8c0r30vHTjqkuyCUIQ,polish_voice_7,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00007.wav,0,normal_negative,pokaż schemat,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00008.wav,0,normal_negative,gdzie jest bezpiecznik,OOTZSkkPGHD1csczSCmT,polish_voice_3,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00009.wav,0,normal_negative,podaj numer błędu,g8ZOdhoD9R6eYKPTjKbE,polish_voice_6,eleven_multilingual_v2,0.45,0.75,0.05,1.0
data\normal_negative_ai\normal_negative_00010.wav,0,normal_negative,pokaż schemat,d4Z5Fvjohw3zxGpV8XUV,polish_voice_4,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00011.wav,0,normal_negative,co oznacza ten kod,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.65,0.85,0.15,1.2
data\normal_negative_ai\normal_negative_00012.wav,0,normal_negative,nie działa podnoszenie,fEfGdiGJK4l3imI70mtC,polish_voice_2,eleven_multilingual_v2,0.55,0.8,0.1,1.1
data\normal_negative_ai\normal_negative_00013.wav,0,normal_negative,pokaż schemat,JWUOwsYG4XgR9Od3eeon,polish_voice_5,eleven_multilingual_v2,0.35,0.7,0.0,0.9
data\normal_negative_ai\normal_negative_00014.wav,0,normal_negative,potrzebuję pomocy,ELipIT4gf7mqOUIdVqNN,polish_voice_8,eleven_multilingual_v2,0.35,0.7,0.0,0.9
